單字,KK 音標,詞性,中文意思,實用造句與用法說明
angle,[ˈæŋɡl],名詞,角度 / 角,Look at the problem from a different angle.（從不同的角度來看這個問題。）
angry,[ˈæŋɡri],形容詞,生氣的,He was angry with his brother.（他對他的兄弟感到生氣。）
animal,[ˈænəməl],名詞,動物,A dog is a friendly animal.（狗是一種友善的動物。）
answer,[ˈænsɚ],名詞,回答 / 答案,Please give me an answer today.（請今天給我一個答覆。）
ant,[ænt],名詞,螞蟻,I saw an ant carrying a piece of bread.（我看到一隻螞蟻搬著一片麵包。）
any,[ˈɛni],形容詞 / 代名詞,任何的 / 一些,Do you have any questions?（你有任何問題嗎？）
apparatus,[ˌæpəˈretəs],名詞,儀器 / 設備,The laboratory has modern apparatus.（這間實驗室擁有現代化的儀器設備。）
apple,[ˈæpl],名詞,蘋果,She ate a sweet red apple.（她吃了一個甜甜的紅蘋果。）
approval,[əˈpruvəl],名詞,贊成 / 批准,The plan has the manager's approval.（這個計劃得到了經理的批准。）
arch,[ɑrtʃ],名詞,拱門 / 弓形,They walked through the stone arch.（他們走過那座石拱門。）
argument,[ˈɑrɡjəmənt],名詞,爭論 / 論點,They had a long argument about money.（他們為了錢發生了長期的爭論。）
arm,[ɑrm],名詞,手臂,He broke his left arm during the game.（他在比賽中弄斷了左臂。）
army,[ˈɑrmi],名詞,軍隊,He joined the army after finishing school.（他畢業後加入了軍隊。）
art,[ɑrt],名詞,藝術,Painting is a beautiful form of art.（繪畫是一種美麗的藝術形式。）
as,[æz],介系詞 / 連接詞,作為 / 當...時,He works as a teacher. / She sang as she walked.（他擔任教師工作。/ 她一邊走一邊唱歌。）
at,[æt],介系詞,在（某處或某時）,Meet me at the station at noon.（中午在車站與我見面。）
attack,[əˈtæk],名詞,攻擊,The enemy launched an attack at night.（敵人在夜間發動了攻擊。）
attempt,[əˈtɛmpt],名詞,嘗試,This is my first attempt to cook.（這是我第一次嘗試做飯。）
attention,[əˈtɛnʃən],名詞,注意力,Please pay attention to what I am saying.（請注意聽我說的話。）
attraction,[əˈtrækʃən],名詞,吸引力 / 景點,The old castle is a great tourist attraction.（這座古堡是個著名的旅遊景點。）
authority,[əˈθɔrətɪ],名詞,權力 / 權威人士,He has no authority to change the rules.（他沒有權力修改規則。）
automatic,[ˌɔtəˈmætɪk],形容詞,自動的,This camera has an automatic focus.（這台相機有自動對焦功能。）
awake,[əˈwek],形容詞,醒著的,The baby is still awake.（寶寶還醒著。）
baby,[ˈbebi],名詞,嬰兒,The baby is sleeping peacefully in the bed.（嬰兒正在床上安詳地睡著。）				
back,[bæk],名詞 / 副詞,背部 / 向後,He hurt his back while lifting the box. / Go back to your seat.（他搬箱子時弄傷了背。/ 回到你的座位上。）				
bad,[bæk],形容詞,壞的 / 不好的,Eating too much sugar is bad for your teeth.（吃太多糖對你的牙齒不好。）				
bag,[bæɡ],名詞,袋子 / 包包,She put her books into her school bag.（她把書放進書包裡。）				
balance,[ˈbæləns],名詞,平衡,He lost his balance and fell off the bicycle.（他失去平衡，從腳踏車上摔了下來。）				
ball,[bɔl],名詞,球,The children are playing with a red ball in the garden.（孩子們正在花園裡玩一個紅色的球。）				
band,[bænd],名詞,帶子 / 樂團,She tied her hair with a rubber band. / The band played good music.（她用橡皮筋綁頭髮。/ 樂團演奏了美妙的音樂。）				
base,[bes],名詞,底部 / 基礎,The lamp has a heavy metal base.（這盞燈有一個沉重的金屬底座。）				
basin,[ˈbesn],名詞,水盆 / 洗臉盆,Please wash your hands in the basin.（請在水盆裡洗手。）				
basket,[ˈbæskɪt],名詞,籃子,We put the fresh fruit into a basket.（我們把新鮮水果放進籃子裡。）				
bath,[bæθ],名詞,洗澡 / 沐浴,A warm bath will help you relax after work.（工作後洗個熱水澡能幫你放鬆。）				
be (are),[bi] ([ɑr]),動詞,是 / 存在,To be happy is important. / They are my good friends.（快樂很重要。/ 他們是我的好朋友。基本英語核心動詞之一。）				
beautiful,[ˈbjutəfəl],形容詞,美麗的,The garden is full of beautiful flowers.（花園裡開滿了美麗的花朵。）				
because,[bɪˈkɔz],連接詞,因為,I stayed at home because it was raining heavily.（因為下大雨，我待在家裡。）				
bed,[bɛd],名詞,床,It is time for the children to go to bed.（孩子們該上床睡覺了。）				
bee,[bi],名詞,蜜蜂,A bee is flying around the open window.（一隻蜜蜂正在打開的窗戶周圍飛著。）				
before,[bɪˈfor],介系詞 / 連接詞,在...之前,Always wash your hands before meals.（飯前務必洗手。）				
behavior,[bɪˈhevjɚ],名詞,行為 / 舉止,The teacher praised the boy's good behavior.（老師表揚了這個男孩的良好行為。）				
belief,[bɪˈlif],名詞,信念 / 看法,It is my belief that honesty is the best policy.（我的信念是：誠實為上策。）				
bell,[bɛl],名詞,鈴 / 鐘,The school bell rings at eight o'clock.（學校的鐘聲在八點響起。）				
bent,[bɛnt],形容詞,彎曲的,The iron bar is bent and cannot be used.（這根鐵條彎曲了，無法使用。）				
berry,[ˈbɛri],名詞,莓果,She picked a sweet red berry from the bush.（她從灌木叢中摘了一顆甜甜的紅莓果。）				
between,[bɪˈtwin],介系詞,在...之間（兩者）,The table is between the two chairs.（桌子在兩張椅子中間。）				
bird,[bɝd],名詞,鳥,A little bird is singing on the tree branch.（一隻小鳥正在樹枝上唱歌。）				
birth,[bɝθ],名詞,出生,She gave birth to a healthy baby girl.（她生下了一個健康的健康女嬰。）				
bit,[bɪt],名詞,一小塊 / 一點點,Please give the dog a small bit of meat.（請給這隻狗一小塊肉。）				
bite,[baɪt],名詞,咬 / 叮咬,Be careful not to get an insect bite.（小心不要被昆蟲叮咬。）				
bitter,[ˈbɪtɚ],形容詞,苦的,Medicine often has a bitter taste.（藥通常有苦味。）				
black,[blæk],形容詞 / 名詞,黑色的 / 黑色,He wore a black coat to the formal dinner.（他穿了一件黑色大衣去參加正式晚宴。）				
blade,[bled],名詞,刀刃 / 葉片,The knife has a very sharp blade.（這把刀有一個非常鋒利的刀刃。）				
blood,[blʌd],名詞,血液,Blood carries oxygen throughout our body.（血液將氧氣輸送到我們全身。）				
blow,[blo],名詞 / 動詞的動作,吹 / 打擊,The wind gave a strong blow to the sail.（風對船帆產生了強烈的吹力。基本英語中常作名詞使用。）				
blue,[blu],形容詞 / 名詞,藍色的 / 藍色,The sky is clear and blue today.（今天的氣空晴朗而蔚藍。）				
board,[bord],名詞,木板 / 告示牌,The teacher wrote the homework on the board.（老師把作業寫在黑板上。）				
boat,[bot],名詞,船,We took a small boat across the lake.（我們搭了一艘小船過湖。）				
body,[ˈbɑdi],名詞,身體,Exercise is good for both mind and body.（運動對身心都有好處。）				
boiling,[ˈbɔɪlɪŋ],形容詞 / 名詞,沸騰的 / 沸騰,Put the vegetables into the boiling water.（把蔬菜放進沸騰的水中。）				
bone,[bon],名詞,骨頭,The dog is chewing a large bone.（這隻狗正在啃一根大骨頭。）				
book,[bʊk],名詞,書本,He is reading an interesting book about history.（他正在讀一本關於歷史的有趣書籍。）				
boot,[but],名詞,靴子,Put on your leather boot before going into the mud.（走進泥地前先穿上你的皮靴。）				
bottle,[ˈbɑtl],名詞,瓶子,There is some clean water in the glass bottle.（玻璃瓶裡有一些乾淨的水。）				
box,[bɑks],名詞,箱子 / 盒子,The gifts were packed in a cardboard box.（禮物被裝在一個紙箱裡。）				
boy,[bɔɪ],名詞,男孩,The little boy is playing with his toy car.（那個小男孩正在玩他的玩具車。）				
brain,[bren],名詞,大腦 / 智力,The human brain controls our thoughts and actions.（人類的大腦控制著我們的思想與行為。）				
brake,[brek],名詞,煞車,Put your foot on the brake to stop the car.（把腳踩在煞車上以讓車停下來。）				
branch,[bræntʃ],名詞,樹枝 / 分支,The bird flew up and sat on a tree branch.（鳥兒飛上去，停在樹枝上。）				
brass,[bræs],名詞,黃銅,The door handle is made of solid brass.（門把手是由實心黃銅製成的。）				
bread,[brɛd],名詞,麵包,I usually have two slices of bread for breakfast.（我早餐通常吃兩片麵包。）				
breath,[brɛθ],名詞,呼吸 / 氣息,Take a deep breath before you start to speak.（在你開始說話前，先深吸一口氣。）				
brick,[brɪk],名詞,磚塊,The house is built of red brick.（這棟房子是用紅磚蓋的。）				
bridge,[brɪdʒ],名詞,橋樑,We walked across the old stone bridge.（我們走過了那座老石橋。）				
bright,[braɪt],形容詞,明亮的 / 聰明的,The sun is very bright this afternoon.（今天下午的陽光非常明亮。）				
broken,[ˈbrokən],形容詞,破碎的 / 壞掉的,"The window is broken, so the cold wind comes in.（窗戶碎了，所以冷風吹了進來。）				"
brother,[ˈbrʌðɚ],名詞,兄弟,My older brother helped me with my homework.（我的哥哥幫我輔導功課。）				
brown,[braʊn],形容詞 / 名詞,褐色的 / 棕色,The dog has smooth brown hair.（這隻狗有平滑的棕色毛髮。）				
brush,[brʌʃ],名詞,刷子,Use this small brush to clean your shoes.（用這把小刷子來清理你的鞋子。）				
bucket,[ˈbʌkɪt],名詞,水桶,He filled the wooden bucket with water.（他把木桶裝滿了水。）				
building,[ˈbɪldɪŋ],名詞,建築物,That tall building is a modern hospital.（那棟高大的建築物是一所現代化的醫院。）				
bulb,[bʌlb],名詞,燈泡 / 植物鱗莖,The electric bulb in the kitchen is broken.（廚房的電燈泡壞了。）				
burn,[bɝn],名詞 / 動詞的動作,燒傷 / 灼傷,She got a minor burn from the hot water.（她被熱水輕微燙傷。）				
burst,[bɝst],名詞 / 動詞的動作,爆裂 / 突發,There was a sudden burst of noise in the street.（街道上突然傳出一陣巨大的噪音。）				
business,[ˈbɪznɪs],名詞,生意 / 事務,He runs a small clothing business in the town.（他在鎮上經營一家小型服裝生意。）				
but,[bʌt],連接詞,但是,"I wanted to go out, but it started to rain.（我想出去，但是開始下雨了。）				"
butter,[ˈbʌtɚ],名詞,奶油,Please spread some butter on my bread.（請在我的麵包上抹點奶油。）				
button,[ˈbʌtn],名詞,鈕扣 / 按鈕,The top button of his shirt is missing. / Press the red button.（他襯衫最上面的鈕扣掉了。/ 按下紅色按鈕。）				
by,[baɪ],介系詞,被 / 經由 / 在...旁邊,The book was written by a famous writer. / Come and sit by me.（這本書是由一位著名的作家寫的。/ 過來坐在我旁邊。）				
cake,[kek],名詞,蛋糕,She made a delicious chocolate cake for my birthday.（她為 my 生日做了一個美味的巧克力蛋糕。）
camera,[ˈkæmərə],名詞,相機,He used his new camera to take photos of the birds.（他用他的新相機拍了那些鳥的照片。）
canvas,[ˈkænvəs],名詞,帆布 / 油畫布,"The tents are made of strong, thick canvas.（這些帳篷是由堅固、厚實的帆布製成的。）"
card,[kɑrd],名詞,卡片 / 紙牌,He sent me a beautiful greeting card from London.（他從倫敦寄給我一張美麗的賀卡。）
care,[kɛr],名詞,照顧 / 小心,You must take care of your health in winter.（冬天你必須好好照顧自己的健康。）
carriage,[ˈkærɪdʒ],名詞,馬車 / 車廂,The royal family rode in a beautiful horse carriage.（皇室成員乘坐在一輛美麗的馬車裡。）
cart,[kɑrt],名詞,手推車 / 貨車,The farmer loaded the wooden cart with apples.（農夫把蘋果裝上那輛木製手推車。）
cat,[kæt],名詞,貓,A small black cat is sleeping under the table.（一隻小黑貓正在桌子底下睡覺。）
cause,[kɔz],名詞,原因 / 起因,The police are looking for the cause of the fire.（警方正在尋找這場火災的起因。）
certain,[ˈsɝtn],形容詞,確定的 / 某個,I am certain that he will come to the meeting.（我確定他會來參加會議。）
chain,[tʃen],名詞,鏈條 / 連鎖,He locked his bicycle with a strong iron chain.（他用一條堅固的鐵鏈鎖住了他的腳踏車。）
chalk,[tʃɔk],名詞,粉筆,The teacher used a piece of white chalk to write.（老師用了一支白粉筆寫字。）
chance,[tʃæns],名詞,機會 / 可能性,This is your last chance to pass the test.（這是你通過考試的最後機會。）
change,[tʃendʒ],名詞 / 動詞的動作,改變 / 零錢,The autumn weather brings a change in temperature.（秋天的天氣帶來了溫度的改變。）
cheap,[tʃip],形容詞,便宜的,These shoes are very cheap but good.（這些鞋子很便宜但是很好。）
cheese,[tʃiz],名詞,起司 / 乳酪,Put a slice of cheese between the bread.（在麵包中間放一片起司。）
chemical,[ˈkɛmɪkəl],名詞 / 形容詞,化學製品 / 化學的,Scientists mixed a dangerous chemical in the room.（科學家在房間裡混合了一種危險的化學物質。）
chest,[tʃɛst],名詞,胸膛 / 大箱子,He felt a slight pain in his chest.（他感到胸口有一點痛。）
chief,[tʃif],形容詞 / 名詞,主要的 / 首領,Rice is the chief food in many Asian countries.（米飯是許多亞洲國家的主要食物。）
chin,[tʃɪn],名詞,下巴,He rested his chin on his hand while thinking.（他思考時把下巴靠在手上。）
church,[tʃɝtʃ],名詞,教堂,They go to the old church every Sunday.（他們每個星期天都去那座老教堂。）
circle,[ˈsɝkl],名詞,圓圈,The children stood in a circle to play a game.（孩子們站成一個圓圈玩遊戲。）
clean,[klin],形容詞,乾淨的,Always keep your hands and clothes clean.（隨時保持你的雙手和衣物乾淨。）
clear,[klɪr],形容詞,清晰的 / 晴朗的,The water in the mountain river is very clear.（山間河流裡的水非常清澈。）
clock,[klɑk],名詞,時鐘,The clock on the wall says it is ten o'clock.（牆上的時鐘顯示現在是十點鐘。）
cloth,[klɔθ],名詞,布料 / 布,She used a wet cloth to clean the table.（她用一塊濕布來擦桌子。）
cloud,[klaʊd],名詞,雲,A dark cloud covered the sun before the rain.（下雨前，一朵烏雲遮住了太陽。）
coal,[kol],名詞,煤炭,They burned coal to keep the house warm.（他們燒煤炭來保持房子溫暖。）
coat,[kot],名詞,外套 / 大衣,Put on your heavy coat; it is cold outside.（穿上你的厚大衣，外面很冷。）
cold,[kold],形容詞 / 名詞,冷的 / 感冒,I prefer hot tea to cold water today.（今天比起冷水，我更喜歡熱茶。）
collar,[ˈkɑlɚ],名詞,領子 / 頸圈,The dog wears a red leather collar with a bell.（這隻狗戴著一個帶有鈴鐺的紅皮頸圈。）
color,[ˈkʌlɚ],名詞,顏色,Blue is my favorite color for a shirt.（藍色是我最喜歡的襯衫顏色。）
comb,[kom],名詞,梳子,She bought a small wooden comb for her hair.（她買了一把小木梳來梳頭髮。）
come,[kʌm],動詞,來,Please come to my house tomorrow afternoon.（請明天下午到我家來。基本英語 18 個核心動詞之一。）
comfort,[ˈkʌmfɚt],名詞,舒適 / 安慰,The warm bed gave great comfort to the tired traveler.（溫暖的床給疲憊的旅人帶來了極大的舒適。）
committee,[kəˈmɪti],名詞,委員會,The committee will make a decision next week.（委員會將在下週做出決定。）
common,[ˈkɑmən],形容詞,常見的 / 共同的,Colds are very common during the winter.（感冒在冬天非常常見。）
company,[ˈkʌmpəni],名詞,公司 / 陪伴,He works for a large trade company in the city.（他在城裡的一家大型貿易公司工作。）
comparison,[kəmˈpærəsn],名詞,比較,"By comparison, this room is bigger than that one.（相較之下，這個房間比那個大。）"
complete,[kəmˈplit],形容詞,完整的 / 完成的,"After years of work, the building is now complete.（經過多年的工作，這棟建築現在已經完工了。）"
competition,[ˌkɑmpəˈtɪʃən],名詞,競爭 / 比賽,He won first prize in the school swimming competition.（他在學校游泳比賽中獲得第一名。）
complex,[kɑmˈplɛks],形容詞,複雜的,The machine has a complex system of gears.（這台機器有一個複雜的齒輪系統。）
condition,[kənˈdɪʃən],名詞,狀況 / 條件,The old car is still in a very good condition.（這輛舊車的狀況依然非常好。）
connection,[kəˈnɛkʃən],名詞,連接 / 關係,There is a close connection between these two events.（這兩起事件之間有密切的關係。）
conscious,[ˈkɑnʃəs],形容詞,有意識的 / 意識到的,He became conscious of someone walking behind him.（他意識到有人走在他後面。）
control,[kənˈtrol],名詞,控制 / 掌管,Drivers must keep control of their speed.（駕駛必須控制好他們的車速。）
cook,[kʊk],名詞,廚師,My father is an excellent cook in our family.（我父親是我們家裡很棒的廚師。）
copper,[ˈkɑpɚ],名詞,紅銅 / 銅,Electrical wires are usually made of copper.（電線通常是由銅製成的。）
copy,[ˈkɑpi],名詞,副本 / 複製品,Please make a copy of this document for me.（請幫我複印一份這份文件的副本。）
cord,[kɔrd],名詞,繩索 / 電線,Tie the box tightly with a thick nylon cord.（用粗尼龍繩把箱子綁緊。）
cork,[kɔrk],名詞,軟木塞,He pulled the cork out of the wine bottle.（他把軟木塞從酒瓶中拔了出來。）
cotton,[ˈkɑtn],名詞,棉花 / 棉織品,This comfortable summer shirt is made of pure cotton.（這件舒適的夏日襯衫是由純棉製成的。）
cough,[kɔf],名詞,咳嗽,He has a bad cough and needs to see a doctor.（他咳得很厲害，需要去看醫生。）
country,[ˈkʌntri],名詞,國家 / 鄉下,Taiwan is a beautiful country surrounded by sea.（台灣是一個被海洋圍繞的美麗國家。）
cover,[ˈkʌvɚ],名詞,封面 / 覆蓋物,Put a clear cover on the book to protect it.（在書上套一個透明書套以保護它。）
cow,[kaʊ],名詞,母牛 / 奶牛,The farmer gets fresh milk from his cow every morning.（農夫每天早上從他的奶牛那裡獲得新鮮牛奶。）
crack,[kræk],名詞,裂縫,There is a small crack in the glass cup.（這個玻璃杯上有一道小裂縫。）
credit,[ˈkrɛdɪt],名詞,信用 / 信譽,You can buy this machine on credit and pay later.（你可以用信用貸款購買這台機器，稍後再付款。）
crime,[kraɪm],名詞,罪行 / 犯罪,Stealing other people's money is a serious crime.（偷竊別人的錢是一項嚴重的罪行。）
cruel,[ˈkruəl],形容詞,殘忍的,It is cruel to keep a wild bird in a small cage.（把野鳥關在小籠子裡是很殘忍的。）
crush,[krʌʃ],名詞 / 動詞的動作,壓碎 / 擁擠的人群,The fall of the heavy stone gave a crush to the tin.（大石頭砸下來把錫罐壓扁了。）
cry,[kraɪ],名詞,哭聲 / 叫喊,We heard a loud cry for help from the river.（我們聽到河裡傳來大聲的呼救聲。）
cup,[kʌp],名詞,杯子,He drank a hot cup of coffee this morning.（他今天早上喝了一杯熱咖啡。）
current,[ˈkɝənt],名詞 / 形容詞,水流 / 當前的,The river current is too strong for swimming.（這條河的水流太急，不適合游泳。）
curtain,[ˈkɝtn],名詞,窗簾,She drew the dark curtain to block the light.（她拉上深色窗簾以阻擋光線。）
curve,[kɝv],名詞,曲線 / 彎道,Slow down the car before you reach the sharp curve.（在到達急彎道之前請放慢車速。）
cushion,[ˈkʊʃən],名詞,墊子 / 靠墊,Place a soft cushion on the hard wooden chair.（在硬木椅上放一個柔軟的靠墊。）
cut,[kʌt],名詞 / 動詞的動作,傷口 / 切割,He got a small cut on his finger from the paper.（他的手指被紙割傷了一個小傷口。）
damage,[ˈdæmɪdʒ],名詞,損害 / 傷害,The storm caused severe damage to the roof.（暴風雨對屋頂造成了嚴重的損害。）
danger,[ˈdendʒɚ],名詞,危險,The signs warned the drivers of the danger ahead.（標誌警告駕駛人前方有危險。）
dark,[dɑrk],形容詞 / 名詞,黑暗的 / 黑暗,It gets dark very early during the winter.（冬天時天黑得非常早。）
daughter,[ˈdɔtɚ],名詞,女兒,They have one son and a younger daughter.（他們有一個兒子和一個較小的女兒。）
day,[de],名詞,白天 / 一天,I work five hours a day at the library.（我每天在圖書館工作五個小時。）
dead,[dɛd],形容詞,死去的,We found a dead bird under the big tree.（我們在大樹下發現了一隻死鳥。）
dear,[dɪr],形容詞,親愛的 / 昂貴的,My dear friend sent me a long letter.（我親愛的朋友寄給我一封長信。）
death,[dɛθ],名詞,死亡,The old leader's death made everyone sad.（老領袖的逝世讓每個人都很悲傷。）
debt,[dɛt],名詞,債務,He worked hard to pay off his bank debt.（他努力工作以還清他的銀行債務。）
decision,[dɪˈsɪʒən],名詞,決定,Have you made a decision about your job?（你對你的工作做出決定了嗎？）
deep,[dip],形容詞,深的,The water in this part of the river is very deep.（這段河水非常深。）
degree,[dɪˈɡri],名詞,度數 / 學位,The temperature dropped by one degree last night.（昨晚溫度下降了一度。）
delicate,[ˈdɛləkɪt],形容詞,精緻的 / 脆弱的,These delicate glass cups break very easily.（這些精緻的玻璃杯非常容易碎。）
dependent,[dɪˈpɛndənt],形容詞,依賴的 / 取決於,Good health is dependent on proper food and exercise.（良好的健康取決於適當的食物和運動。）
design,[dɪˈzaɪn],名詞,設計 / 圖案,I really like the simple design of this house.（我非常喜歡這棟房子簡單的設計。）
desire,[dɪˈzaɪɚ],名詞,慾望 / 渴望,He has a strong desire to travel around the world.（他有周遊世界的強烈渴望。）
destruction,[dɪˈstrʌkʃən],名詞,破壞 / 毀滅,The fire led to the complete destruction of the woods.（這場大火導致了森林的徹底毀滅。）
detail,[ˈditel],名詞,細節,Please tell me every detail of the meeting.（請告訴我會議的每一個細節。）
development,[dɪˈvɛləpmənt],名詞,發展 / 開發,This land is ready for the development of a park.（這片土地已經準備好用來開發公園。）
different,[ˈdɪfərənt],形容詞,不同的,He gave a different answer from his brother.（他給出了一個與他兄弟不同的答案。）
digestion,[daɪˈdʒɛstʃən],名詞,消化,Walking after meals is good for your digestion.（飯後散步對你的消化有好處。）
direction,[dəˈrɛkʃən],名詞,方向 / 指引,They walked in the opposite direction of the station.（他們朝著車站的相反方向走去。）
dirty,[ˈdɝti],形容詞,髒的,Put your dirty clothes into the washing machine.（把你的髒衣服放進洗衣機裡。）
discovery,[dɪˈskʌvəri],名詞,發現,The discovery of America changed world history.（美洲的發現改變了世界歷史。）
discussion,[dɪˈskʌʃən],名詞,討論,We had a long discussion about the new plan.（我們針對這項新計劃進行了長期的討論。）
disease,[dɪˈziz],名詞,疾病,Doctors are working hard to stop this dangerous disease.（醫生們正努力阻止這種危險的疾病。）
disgust,[dɪsˈɡʌst],名詞,厭惡 / 反感,She looked at the dirty room with deep disgust.（她帶著深深的厭惡看著那個髒亂的房間。）
distance,[ˈdɪstəns],名詞,距離,The distance between the two cities is sixty miles.（這兩座城市之間的距離是六十英哩。）
distribution,[ˌdɪstrəˈbjuʃən],名詞,分配 / 分發,The distribution of food to the poor started today.（向窮人分發食物的工作今天開始了。）
division,[dəˈvɪʒən],名詞,分開 / 部門 / 除法,The division of the land caused an argument.（土地的劃分引發了爭論。）
do,[du],動詞,做 / 執行,I will do my best to complete the work early.（我會盡最大努力提早完成這項工作。基本英語核心動詞之一。）
dog,[dɔɡ],名詞,狗,The brown dog barked when the postman came.（郵差來時，那隻棕色的狗叫了。）
door,[dor],名詞,門,Please close the door when you leave the room.（你離開房間時請關上門。）
doubt,[daʊt],名詞,懷疑 / 疑問,There is no doubt that he is a good teacher.（毫無疑問，他是一位好老師。）
down,[daʊn],介系詞 / 副詞,向下,He ran down the stairs to meet his mother.（他跑下樓梯去接他的母親。）
drain,[dren],名詞,排水管 / 排水溝,Water went down the drain in the kitchen.（水從廚房的排水管流了下去。）
drawer,[ˈdrɔɚ],名詞,抽屜,He put the important papers into the top drawer.（他把重要的文件放進最上面的抽屜裡。）
dress,[drɛs],名詞,連身裙 / 服裝,She wore a beautiful blue dress to the party.（她穿著一件美麗的藍色連身裙去參加聚會。）
drink,[drɪŋk],名詞 / 動詞的動作,飲料 / 喝,May I have a cold drink of water?（我可以喝一杯冷水嗎？基本英語中常用作名詞。）
driving,[ˈdraɪvɪŋ],名詞 / 形容詞,駕駛 / 推進的,Safe driving requires a lot of attention.（安全駕駛需要高度的注意力。）
drop,[drɑp],名詞 / 動詞的動作,一滴 / 下降,A drop of rain fell on my face.（一滴雨水落到我的臉上。）
dry,[draɪ],形容詞,乾燥的,The warm wind made the wet clothes dry.（暖風讓濕衣服變乾了。）
dust,[dʌst],名詞,灰塵,The old books on the shelf were covered in dust.（書架上的舊書都沾滿了灰塵。）
ear,[ɪr],名詞,耳朵,A rabbit has long ears to hear sounds clearly.（兔子有長長的耳朵可以清晰地聽到聲音。）
early,[ˈɝli],形容詞 / 副詞,早的 / 早地,He wakes up early in the morning to run.（他早上很早起床去跑步。）
earth,[ɝθ],名詞,地球 / 泥土,The earth moves around the sun.（地球繞著太陽運轉。）
east,[ist],名詞 / 形容詞 / 副詞,東方 / 向東的,The sun rises in the east every morning.（太陽每天早晨從東方升起。）
edge,[ɛdʒ],名詞,邊緣,Do not put the glass cup near the edge of the table.（不要把玻璃杯放在桌子邊緣附近。）
education,[ˌɛdʒəˈkeʃən],名詞,教育,Good education is very important for children.（良好的教育對孩子來說非常重要。）
effect,[ɪˈfɛkt],名詞,效果 / 影響,The medicine had a good effect on his cold.（這藥對他的感冒有很好的效果。）
egg,[ɛɡ],名詞,蛋,She boiled an egg for breakfast.（她煮了一個蛋當早餐。）
elastic,[ɪˈlæstɪk],形容詞 / 名詞,有彈性的 / 橡皮筋,Use an elastic band to tie the papers together.（用橡皮筋把文件綁在一起。）
electric,[ɪˈlɛktrɪk],形容詞,電的 / 動力的,We bought a new electric stove for the kitchen.（我們為廚房買了一個新的電爐。）
end,[ɛnd],名詞,結尾 / 盡頭,Walk to the end of the street and turn left.（走到這條街的盡頭然後向左轉。）
engine,[ˈɛndʒən],名詞,引擎 / 發動機,The car stopped because the engine was too hot.（汽車停了下來，因為引擎太熱了。）
enough,[ɪˈnʌf],形容詞 / 副詞,足夠的 / 足夠地,There is enough food for everyone at the party.（宴會上有足夠每個人吃的食物。）
equal,[ˈikwəl],形容詞,相等的 / 平等的,Two plus two is equal to four.（二加二等於四。）
error,[ˈɛrɚ],名詞,錯誤,There is a small error in your calculation.（你的計算中有一個小錯誤。）
even,[ˈivən],副詞 / 形容詞,甚至 / 偶數的,It was so cold that even the river froze.（天氣太冷了，甚至連河水都結冰了。）
event,[ɪˈvɛnt],名詞,事件 / 活動,The school sports event will take place tomorrow.（學校的體育活動將在明天舉行。）
